id;name;username;email;kd_pwk;role;nm_pemda;password;
21;Perwakilan BPKP Sulawesi Tenggara;pw20;bansos_pw20@mail.com;PW20;Perwakilan BPKP;Prov. Sulawesi Tenggara;password;
22;Perwakilan BPKP Sulawesi Selatan;pw21;bansos_pw21@mail.com;PW21;Perwakilan BPKP;Prov. Sulawesi Selatan;password;
23;Perwakilan BPKP Bali;pw22;bansos_pw22@mail.com;PW22;Perwakilan BPKP;Prov. Bali;password;
24;Perwakilan BPKP Nusa Tenggara Barat;pw23;bansos_pw23@mail.com;PW23;Perwakilan BPKP;Prov. Nusa Tenggara Barat;password;
25;Perwakilan BPKP Nusa Tenggara Timur;pw24;bansos_pw24@mail.com;PW24;Perwakilan BPKP;Prov. Nusa Tenggara Timur;password;
26;Perwakilan BPKP Maluku;pw25;bansos_pw25@mail.com;PW25;Perwakilan BPKP;Prov. Maluku;password;
27;Perwakilan BPKP Papua;pw26;bansos_pw26@mail.com;PW26;Perwakilan BPKP;Prov. Papua;password;
28;Perwakilan BPKP Papua Barat;pw27;bansos_pw27@mail.com;PW27;Perwakilan BPKP;Prov. Papua Barat;password;
29;Perwakilan BPKP Kepulauan Riau;pw28;bansos_pw28@mail.com;PW28;Perwakilan BPKP;Prov. Kepulauan Riau;password;
30;Perwakilan BPKP Bangka Belitung;pw29;bansos_pw29@mail.com;PW29;Perwakilan BPKP;Prov. Bangka Belitung;password;
31;Perwakilan BPKP Banten;pw30;bansos_pw30@mail.com;PW30;Perwakilan BPKP;Prov. Banten;password;
32;Perwakilan BPKP Gorontalo;pw31;bansos_pw31@mail.com;PW31;Perwakilan BPKP;Prov. Gorontalo;password;
33;Perwakilan BPKP Sulawesi Barat;pw32;bansos_pw32@mail.com;PW32;Perwakilan BPKP;Prov. Sulawesi Barat;password;
34;Perwakilan BPKP Maluku Utara;pw33;bansos_pw33@mail.com;PW33;Perwakilan BPKP;Prov. Maluku Utara;password;
35;Perwakilan BPKP Kalimantan Utara;pw34;bansos_pw34@mail.com;PW34;Perwakilan BPKP;Prov. Kalimantan Utara;password;
36;Prov. Aceh;Prov_Aceh;Prov_Aceh@mail.com;PW01;Pemerintah Daerah;Prov. Aceh;password;
37;Kab. Aceh Barat Daya;Kab_Abdya;Kab_Abdya@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Barat Daya;password;
38;Kab. Aceh Barat;Kab_Abar;Kab_Abar@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Barat;password;
39;Kab. Aceh Besar;Kab_Abes;Kab_Abes@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Besar;password;
40;Kab. Aceh Jaya;Kab_Ajay;Kab_Ajay@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Jaya;password;
41;Kab. Aceh Selatan;Kab_Asel;Kab_Asel@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Selatan;password;
42;Kab. Aceh Singkil;Kab_Asing;Kab_Asing@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Singkil;password;
43;Kab. Aceh Tamiang;Kab_Atam;Kab_Atam@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Tamiang;password;
44;Kab. Aceh Tengah;Kab_Ateng;Kab_Ateng@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Tengah;password;
45;Kab. Aceh Tenggara;Kab_Atera;Kab_Atera@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Tenggara;password;
46;Kab. Aceh Timur;Kab_Atim;Kab_Atim@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Timur;password;
47;Kab. Aceh Utara;Kab_Acut;Kab_Acut@mail.com;PW01;Pemerintah Daerah;Kab. Aceh Utara;password;
48;Kab. Bener Meriah;Kab_Benmeriah;Kab_Benmeriah@mail.com;PW01;Pemerintah Daerah;Kab. Bener Meriah;password;
49;Kab. Bireun;Kab_Bireun;Kab_Bireun@mail.com;PW01;Pemerintah Daerah;Kab. Bireun;password;
50;Kab. Gayo Lues;Kab_Gayo;Kab_Gayo@mail.com;PW01;Pemerintah Daerah;Kab. Gayo Lues;password;
51;Kab. Nagan Raya;Kab_Nagan;Kab_Nagan@mail.com;PW01;Pemerintah Daerah;Kab. Nagan Raya;password;
52;Kab. Pidie Jaya;Kab_Pijay;Kab_Pijay@mail.com;PW01;Pemerintah Daerah;Kab. Pidie Jaya;password;
53;Kab. Pidie;Kab_Pidie;Kab_Pidie@mail.com;PW01;Pemerintah Daerah;Kab. Pidie;password;
54;Kab. Simeulue;Kab_Simeulue;Kab_Simeulue@mail.com;PW01;Pemerintah Daerah;Kab. Simeulue;password;
55;Kota Langsa;Kota_Langsa;Kota_Langsa@mail.com;PW01;Pemerintah Daerah;Kota Langsa;password;
56;Kota Banda Aceh;Kota_Banda;Kota_Banda@mail.com;PW01;Pemerintah Daerah;Kota Banda Aceh;password;
57;Kota Lhokseumawe;Kota_Lhokseumawe;Kota_Lhokseumawe@mail.com;PW01;Pemerintah Daerah;Kota Lhokseumawe;password;
58;Kota Sabang;Kota_Sabang;Kota_Sabang@mail.com;PW01;Pemerintah Daerah;Kota Sabang;password;
59;Kota Subulussalam;Kota_Subulussalam;Kota_Subulussalam@mail.com;PW01;Pemerintah Daerah;Kota Subulussalam;password;
60;Prov. Sumatera Utara;Prov_Sumatera_Utara;Prov_Sumatera_Utara@mail.com;PW02;Pemerintah Daerah;Prov. Sumatera Utara;password;
61;Kab. Asahan;Kab_Asahan;Kab_Asahan@mail.com;PW02;Pemerintah Daerah;Kab. Asahan;password;
62;Kab. Batubara;Kab_Batubara;Kab_Batubara@mail.com;PW02;Pemerintah Daerah;Kab. Batubara;password;
63;Kab. Dairi;Kab_Dairi;Kab_Dairi@mail.com;PW02;Pemerintah Daerah;Kab. Dairi;password;
64;Kab. Deli Serdang;Kab_Deli;Kab_Deli@mail.com;PW02;Pemerintah Daerah;Kab. Deli Serdang;password;
65;Kab. Humbang Hasundutan;Kab_Humbang;Kab_Humbang@mail.com;PW02;Pemerintah Daerah;Kab. Humbang Hasundutan;password;
66;Kab. Karo;Kab_Karo;Kab_Karo@mail.com;PW02;Pemerintah Daerah;Kab. Karo;password;
67;Kab. Labuhanbatu;Kab_Labuhanbatu;Kab_Labuhanbatu@mail.com;PW02;Pemerintah Daerah;Kab. Labuhanbatu;password;
68;Kab. Labuhanbatu Selatan;Kab_Labuhansel;Kab_Labuhansel@mail.com;PW02;Pemerintah Daerah;Kab. Labuhanbatu Selatan;password;
69;Kab. Labuhanbatu Utara;Kab_Labuhanut;Kab_Labuhanut@mail.com;PW02;Pemerintah Daerah;Kab. Labuhanbatu Utara;password;
70;Kab. Langkat;Kab_Langkat;Kab_Langkat@mail.com;PW02;Pemerintah Daerah;Kab. Langkat;password;
71;Kab. Mandailing Natal;Kab_Mantal;Kab_Mantal@mail.com;PW02;Pemerintah Daerah;Kab. Mandailing Natal;password;
72;Kab. Nias;Kab_Nias;Kab_Nias@mail.com;PW02;Pemerintah Daerah;Kab. Nias;password;
73;Kab. Nias Barat;Kab_Niabar;Kab_Niabar@mail.com;PW02;Pemerintah Daerah;Kab. Nias Barat;password;
74;Kab. Nias Selatan;Kab_Niasel;Kab_Niasel@mail.com;PW02;Pemerintah Daerah;Kab. Nias Selatan;password;
75;Kab. Nias Utara;Kab_Niasut;Kab_Niasut@mail.com;PW02;Pemerintah Daerah;Kab. Nias Utara;password;
76;Kab. Padang Lawas;Kab_Palas;Kab_Palas@mail.com;PW02;Pemerintah Daerah;Kab. Padang Lawas;password;
77;Kab. Padang Lawas Utara;Kab_Palasut;Kab_Palasut@mail.com;PW02;Pemerintah Daerah;Kab. Padang Lawas Utara;password;
78;Kab. Pakpak Bharat;Kab_Pakbhr;Kab_Pakbhr@mail.com;PW02;Pemerintah Daerah;Kab. Pakpak Bharat;password;
79;Kab. Samosir;Kab_Samosir;Kab_Samosir@mail.com;PW02;Pemerintah Daerah;Kab. Samosir;password;
80;Kab. Simalungun;Kab_Simalungun;Kab_Simalungun@mail.com;PW02;Pemerintah Daerah;Kab. Simalungun;password;
81;Kab. Tapanuli Selatan;Kab_Tapsel;Kab_Tapsel@mail.com;PW02;Pemerintah Daerah;Kab. Tapanuli Selatan;password;
82;Kab. Tapanuli Tengah;Kab_Tapteng;Kab_Tapteng@mail.com;PW02;Pemerintah Daerah;Kab. Tapanuli Tengah;password;
83;Kab. Tapanuli Utara;Kab_Taput;Kab_Taput@mail.com;PW02;Pemerintah Daerah;Kab. Tapanuli Utara;password;
84;Kab. Toba Samosir;Kab_Tosa;Kab_Tosa@mail.com;PW02;Pemerintah Daerah;Kab. Toba Samosir;password;
85;Kab. Serdang Bedagai;Kab_Serdangbeg;Kab_Serdangbeg@mail.com;PW02;Pemerintah Daerah;Kab. Serdang Bedagai;password;
86;Kota Binjai;Kota_Binjai;Kota_Binjai@mail.com;PW02;Pemerintah Daerah;Kota Binjai;password;
87;Kota Gunung Sitoli;Kota_Gunsit;Kota_Gunsit@mail.com;PW02;Pemerintah Daerah;Kota Gunung Sitoli;password;
88;Kota Medan;Kota_Medan;Kota_Medan@mail.com;PW02;Pemerintah Daerah;Kota Medan;password;
89;Kota Padang Sidempuan;Kota_Pauan;Kota_Pauan@mail.com;PW02;Pemerintah Daerah;Kota Padang Sidempuan;password;
90;Kota Pematang Siantar;Kota_Siantar;Kota_Siantar@mail.com;PW02;Pemerintah Daerah;Kota Pematang Siantar;password;
91;Kota Sibolga;Kota_Sibolga;Kota_Sibolga@mail.com;PW02;Pemerintah Daerah;Kota Sibolga;password;
92;Kota Tanjung Balai;Kota_Talai;Kota_Talai@mail.com;PW02;Pemerintah Daerah;Kota Tanjung Balai;password;
93;Kota Tebing Tinggi;Kota_Tebinggi;Kota_Tebinggi@mail.com;PW02;Pemerintah Daerah;Kota Tebing Tinggi;password;
94;Prov. Sumatera Barat;Prov_Sumatera_Barat;Prov_Sumatera_Barat@mail.com;PW03;Pemerintah Daerah;Prov. Sumatera Barat;password;
95;Kab. Agam;Kab_Agam;Kab_Agam@mail.com;PW03;Pemerintah Daerah;Kab. Agam;password;
96;Kab. Dharmasraya;Kab_Dharmasraya;Kab_Dharmasraya@mail.com;PW03;Pemerintah Daerah;Kab. Dharmasraya;password;
97;Kab. Kep. Mentawai;Kab_Mentawai;Kab_Mentawai@mail.com;PW03;Pemerintah Daerah;Kab. Kep. Mentawai;password;
98;Kab. Lima Puluh Kota;Kab_Limpulkot;Kab_Limpulkot@mail.com;PW03;Pemerintah Daerah;Kab. Lima Puluh Kota;password;
99;Kab. Padang Pariaman;Kab_Paman;Kab_Paman@mail.com;PW03;Pemerintah Daerah;Kab. Padang Pariaman;password;
100;Kab. Pasaman;Kab_Pasaman;Kab_Pasaman@mail.com;PW03;Pemerintah Daerah;Kab. Pasaman;password;
101;Kab. Pasaman Barat;Kab_Pasbar;Kab_Pasbar@mail.com;PW03;Pemerintah Daerah;Kab. Pasaman Barat;password;
102;Kab. Pesisir Selatan;Kab_Pesisel;Kab_Pesisel@mail.com;PW03;Pemerintah Daerah;Kab. Pesisir Selatan;password;
103;Kab. Sijunjung;Kab_Sijunjung;Kab_Sijunjung@mail.com;PW03;Pemerintah Daerah;Kab. Sijunjung;password;
104;Kab. Solok;Kab_Solok;Kab_Solok@mail.com;PW03;Pemerintah Daerah;Kab. Solok;password;
105;Kab. Solok Selatan;Kab_Loktan;Kab_Loktan@mail.com;PW03;Pemerintah Daerah;Kab. Solok Selatan;password;
106;Kab. Tanah Datar;Kab_Tadar;Kab_Tadar@mail.com;PW03;Pemerintah Daerah;Kab. Tanah Datar;password;
107;Kota Bukit Tinggi;Kota_Bunggi;Kota_Bunggi@mail.com;PW03;Pemerintah Daerah;Kota Bukit Tinggi;password;
108;Kota Padang;Kota_Padang;Kota_Padang@mail.com;PW03;Pemerintah Daerah;Kota Padang;password;
109;Kota Padang Panjang;Kota_Pajang;Kota_Pajang@mail.com;PW03;Pemerintah Daerah;Kota Padang Panjang;password;
110;Kota Pariaman;Kota_Pariaman;Kota_Pariaman@mail.com;PW03;Pemerintah Daerah;Kota Pariaman;password;
111;Kota Payakumbuh;Kota_Payakumbuh;Kota_Payakumbuh@mail.com;PW03;Pemerintah Daerah;Kota Payakumbuh;password;
112;Kota Sawahlunto;Kota_Sawahlunto;Kota_Sawahlunto@mail.com;PW03;Pemerintah Daerah;Kota Sawahlunto;password;
113;Kota Solok;Kota_Solok;Kota_Solok@mail.com;PW03;Pemerintah Daerah;Kota Solok;password;
114;Prov. Riau;Prov_Riau;Prov_Riau@mail.com;PW04;Pemerintah Daerah;Prov. Riau;password;
115;Kab. Bengkalis;Kab_Bengkalis;Kab_Bengkalis@mail.com;PW04;Pemerintah Daerah;Kab. Bengkalis;password;
116;Kab. Indragiri Hilir;Kab_Indrahilir;Kab_Indrahilir@mail.com;PW04;Pemerintah Daerah;Kab. Indragiri Hilir;password;
117;Kab. Indragiri Hulu;Kab_Indrahulu;Kab_Indrahulu@mail.com;PW04;Pemerintah Daerah;Kab. Indragiri Hulu;password;
118;Kab. Kampar;Kab_Kampar;Kab_Kampar@mail.com;PW04;Pemerintah Daerah;Kab. Kampar;password;
119;Kab. Kep. Meranti;Kab_Meranti;Kab_Meranti@mail.com;PW04;Pemerintah Daerah;Kab. Kep. Meranti;password;
120;Kab. Kuantan Singingi;Kab_Kuansing;Kab_Kuansing@mail.com;PW04;Pemerintah Daerah;Kab. Kuantan Singingi;password;
121;Kab. Pelalawan;Kab_Pelalawan;Kab_Pelalawan@mail.com;PW04;Pemerintah Daerah;Kab. Pelalawan;password;
122;Kab. Rokan Hilir;Kab_Rohil;Kab_Rohil@mail.com;PW04;Pemerintah Daerah;Kab. Rokan Hilir;password;
123;Kab. Rokan Hulu;Kab_Rohul;Kab_Rohul@mail.com;PW04;Pemerintah Daerah;Kab. Rokan Hulu;password;
124;Kab. Siak;Kab_Siak;Kab_Siak@mail.com;PW04;Pemerintah Daerah;Kab. Siak;password;
125;Kota Dumai;Kota_Dumai;Kota_Dumai@mail.com;PW04;Pemerintah Daerah;Kota Dumai;password;
126;Kota Pekanbaru;Kota_Pekanbaru;Kota_Pekanbaru@mail.com;PW04;Pemerintah Daerah;Kota Pekanbaru;password;
127;Prov. Kepulauan Riau;Prov_Kepulauan_Riau;Prov_Kepulauan_Riau@mail.com;PW28;Pemerintah Daerah;Prov. Kepulauan Riau;password;
128;Kab. Bintan;Kab_Bintan;Kab_Bintan@mail.com;PW28;Pemerintah Daerah;Kab. Bintan;password;
129;Kab. Karimun;Kab_Karimun;Kab_Karimun@mail.com;PW28;Pemerintah Daerah;Kab. Karimun;password;
130;Kab. Kep. Anambas;Kab_Anambas;Kab_Anambas@mail.com;PW28;Pemerintah Daerah;Kab. Kep. Anambas;password;
131;Kab. Lingga;Kab_Lingga;Kab_Lingga@mail.com;PW28;Pemerintah Daerah;Kab. Lingga;password;
132;Kab. Natuna;Kab_Natuna;Kab_Natuna@mail.com;PW28;Pemerintah Daerah;Kab. Natuna;password;
133;Kota Batam;Kota_Batam;Kota_Batam@mail.com;PW28;Pemerintah Daerah;Kota Batam;password;
134;Kota Tanjung Pinang;Kota_Tanang;Kota_Tanang@mail.com;PW28;Pemerintah Daerah;Kota Tanjung Pinang;password;
135;Prov. Jambi;Prov_Jambi;Prov_Jambi@mail.com;PW05;Pemerintah Daerah;Prov. Jambi;password;
136;Kab. Batanghari;Kab_Batanghari;Kab_Batanghari@mail.com;PW05;Pemerintah Daerah;Kab. Batanghari;password;
137;Kab. Bungo;Kab_Bungo;Kab_Bungo@mail.com;PW05;Pemerintah Daerah;Kab. Bungo;password;
138;Kab. Kerinci;Kab_Kerinci;Kab_Kerinci@mail.com;PW05;Pemerintah Daerah;Kab. Kerinci;password;
139;Kab. Merangin;Kab_Merangin;Kab_Merangin@mail.com;PW05;Pemerintah Daerah;Kab. Merangin;password;
140;Kab. Muaro Jambi;Kab_Mumbi;Kab_Mumbi@mail.com;PW05;Pemerintah Daerah;Kab. Muaro Jambi;password;
141;Kab. Sarolangun;Kab_Sarolangun;Kab_Sarolangun@mail.com;PW05;Pemerintah Daerah;Kab. Sarolangun;password;
142;Kab. Tanjung Jabung Barat;Kab_Tabungbar;Kab_Tabungbar@mail.com;PW05;Pemerintah Daerah;Kab. Tanjung Jabung Barat;password;
143;Kab. Tanjung Jabung Timur;Kab_Tabungtim;Kab_Tabungtim@mail.com;PW05;Pemerintah Daerah;Kab. Tanjung Jabung Timur;password;
144;Kab. Tebo;Kab_Tebo;Kab_Tebo@mail.com;PW05;Pemerintah Daerah;Kab. Tebo;password;
145;Kota Jambi;Kota_Jambi;Kota_Jambi@mail.com;PW05;Pemerintah Daerah;Kota Jambi;password;
146;Kota Sungai Penuh;Kota_Sunuh;Kota_Sunuh@mail.com;PW05;Pemerintah Daerah;Kota Sungai Penuh;password;
147;Prov. Bengkulu;Prov_Bengkulu;Prov_Bengkulu@mail.com;PW06;Pemerintah Daerah;Prov. Bengkulu;password;
148;Kab. Bengkulu Selatan;Kab_Bengsel;Kab_Bengsel@mail.com;PW06;Pemerintah Daerah;Kab. Bengkulu Selatan;password;
149;Kab. Bengkulu Tengah;Kab_Bengngah;Kab_Bengngah@mail.com;PW06;Pemerintah Daerah;Kab. Bengkulu Tengah;password;
150;Kab. Bengkulu Utara;Kab_Bengkut;Kab_Bengkut@mail.com;PW06;Pemerintah Daerah;Kab. Bengkulu Utara;password;
151;Kab. Kaur;Kab_Kaur;Kab_Kaur@mail.com;PW06;Pemerintah Daerah;Kab. Kaur;password;
152;Kab. Kepahiang;Kab_Kepahiang;Kab_Kepahiang@mail.com;PW06;Pemerintah Daerah;Kab. Kepahiang;password;
153;Kab. Lebong;Kab_Lebong;Kab_Lebong@mail.com;PW06;Pemerintah Daerah;Kab. Lebong;password;
154;Kab. Muko-Muko;Kab_Muko;Kab_Muko@mail.com;PW06;Pemerintah Daerah;Kab. Muko-Muko;password;
155;Kab. Rejang Lebong;Kab_Rebong;Kab_Rebong@mail.com;PW06;Pemerintah Daerah;Kab. Rejang Lebong;password;
156;Kab. Seluma;Kab_Seluma;Kab_Seluma@mail.com;PW06;Pemerintah Daerah;Kab. Seluma;password;
157;Kota Bengkulu;Kota_Bengkulu;Kota_Bengkulu@mail.com;PW06;Pemerintah Daerah;Kota Bengkulu;password;
158;Prov. Sumatera Selatan;Prov_Sumatera_Selatan;Prov_Sumatera_Selatan@mail.com;PW07;Pemerintah Daerah;Prov. Sumatera Selatan;password;
159;Kab. Banyuasin;Kab_Banyuasin;Kab_Banyuasin@mail.com;PW07;Pemerintah Daerah;Kab. Banyuasin;password;
160;Kab. Empat Lawang;Kab_Lawang;Kab_Lawang@mail.com;PW07;Pemerintah Daerah;Kab. Empat Lawang;password;
161;Kab. Lahat;Kab_Lahat;Kab_Lahat@mail.com;PW07;Pemerintah Daerah;Kab. Lahat;password;
162;Kab. Muara Enim;Kab_Enim;Kab_Enim@mail.com;PW07;Pemerintah Daerah;Kab. Muara Enim;password;
163;Kab. Musi Banyu Asin;Kab_Musin;Kab_Musin@mail.com;PW07;Pemerintah Daerah;Kab. Musi Banyu Asin;password;
164;Kab. Musi Rawas;Kab_Muwas;Kab_Muwas@mail.com;PW07;Pemerintah Daerah;Kab. Musi Rawas;password;
165;Kab. Musi Rawas Utara;Kab_Muwasu;Kab_Muwasu@mail.com;PW07;Pemerintah Daerah;Kab. Musi Rawas Utara;password;
166;Kab. Ogan Ilir;Kab_Olir;Kab_Olir@mail.com;PW07;Pemerintah Daerah;Kab. Ogan Ilir;password;
167;Kab. OKI;Kab_OKI;Kab_OKI@mail.com;PW07;Pemerintah Daerah;Kab. OKI;password;
168;Kab. OKU;Kab_OKU;Kab_OKU@mail.com;PW07;Pemerintah Daerah;Kab. OKU;password;
169;Kab. OKU Selatan;Kab_OKUS;Kab_OKUS@mail.com;PW07;Pemerintah Daerah;Kab. OKU Selatan;password;
170;Kab. OKU Timur;Kab_OKUT;Kab_OKUT@mail.com;PW07;Pemerintah Daerah;Kab. OKU Timur;password;
171;Kab. Penukal Abab Lematang Ilir;Kab_PALI;Kab_PALI@mail.com;PW07;Pemerintah Daerah;Kab. Penukal Abab Lematang Ilir;password;
172;Kota Lubuk Linggau;Kota_Linggau;Kota_Linggau@mail.com;PW07;Pemerintah Daerah;Kota Lubuk Linggau;password;
173;Kota Pagar Alam;Kota_Palam;Kota_Palam@mail.com;PW07;Pemerintah Daerah;Kota Pagar Alam;password;
174;Kota Palembang;Kota_Palembang;Kota_Palembang@mail.com;PW07;Pemerintah Daerah;Kota Palembang;password;
175;Kota Prabumulih;Kota_Prabumulih;Kota_Prabumulih@mail.com;PW07;Pemerintah Daerah;Kota Prabumulih;password;
176;Prov. Bangka Belitung;Prov_Bangka_Belitung;Prov_Bangka_Belitung@mail.com;PW29;Pemerintah Daerah;Prov. Bangka Belitung;password;
177;Kab. Bangka;Kab_Bangka;Kab_Bangka@mail.com;PW29;Pemerintah Daerah;Kab. Bangka;password;
178;Kab. Bangka Barat;Kab_Bangbar;Kab_Bangbar@mail.com;PW29;Pemerintah Daerah;Kab. Bangka Barat;password;
179;Kab. Bangka Selatan;Kab_Bangsel;Kab_Bangsel@mail.com;PW29;Pemerintah Daerah;Kab. Bangka Selatan;password;
180;Kab. Bangka Tengah;Kab_Banteng;Kab_Banteng@mail.com;PW29;Pemerintah Daerah;Kab. Bangka Tengah;password;
181;Kab. Belitung;Kab_Belitung;Kab_Belitung@mail.com;PW29;Pemerintah Daerah;Kab. Belitung;password;
182;Kab. Belitung Timur;Kab_Belimur;Kab_Belimur@mail.com;PW29;Pemerintah Daerah;Kab. Belitung Timur;password;
183;Kota Pangkalpinang;Kota_Pangkalpinang;Kota_Pangkalpinang@mail.com;PW29;Pemerintah Daerah;Kota Pangkalpinang;password;
184;Prov. Lampung;Prov_Lampung;Prov_Lampung@mail.com;PW08;Pemerintah Daerah;Prov. Lampung;password;
185;Kab. Lampung Barat;Kab_Lambar;Kab_Lambar@mail.com;PW08;Pemerintah Daerah;Kab. Lampung Barat;password;
186;Kab. Lampung Selatan;Kab_Lamsel;Kab_Lamsel@mail.com;PW08;Pemerintah Daerah;Kab. Lampung Selatan;password;
187;Kab. Lampung Tengah;Kab_Lamteng;Kab_Lamteng@mail.com;PW08;Pemerintah Daerah;Kab. Lampung Tengah;password;
188;Kab. Lampung Timur;Kab_Lamtim;Kab_Lamtim@mail.com;PW08;Pemerintah Daerah;Kab. Lampung Timur;password;
189;Kab. Lampung Utara;Kab_Lamput;Kab_Lamput@mail.com;PW08;Pemerintah Daerah;Kab. Lampung Utara;password;
190;Kab. Mesuji;Kab_Mesuji;Kab_Mesuji@mail.com;PW08;Pemerintah Daerah;Kab. Mesuji;password;
191;Kab. Pesawaran;Kab_Pesawaran;Kab_Pesawaran@mail.com;PW08;Pemerintah Daerah;Kab. Pesawaran;password;
192;Kab. Pesisir Barat;Kab_Pesibar;Kab_Pesibar@mail.com;PW08;Pemerintah Daerah;Kab. Pesisir Barat;password;
193;Kab. Pringsewu;Kab_Pringsewu;Kab_Pringsewu@mail.com;PW08;Pemerintah Daerah;Kab. Pringsewu;password;
194;Kab. Tanggamus;Kab_Tanggamus;Kab_Tanggamus@mail.com;PW08;Pemerintah Daerah;Kab. Tanggamus;password;
195;Kab. Tulang Bawang;Kab_Tuwang;Kab_Tuwang@mail.com;PW08;Pemerintah Daerah;Kab. Tulang Bawang;password;
196;Kab. Tulang Bawang Barat;Kab_Tuwangbar;Kab_Tuwangbar@mail.com;PW08;Pemerintah Daerah;Kab. Tulang Bawang Barat;password;
197;Kab. Way Kanan;Kab_Waykanan;Kab_Waykanan@mail.com;PW08;Pemerintah Daerah;Kab. Way Kanan;password;
198;Kota Bandar Lampung;Kota_Lampung;Kota_Lampung@mail.com;PW08;Pemerintah Daerah;Kota Bandar Lampung;password;
199;Kota Metro;Kota_Metro;Kota_Metro@mail.com;PW08;Pemerintah Daerah;Kota Metro;password;
200;Prov. DKI Jakarta;Prov_DKI_Jakarta;Prov_DKI_Jakarta@mail.com;PW09;Pemerintah Daerah;Prov. DKI Jakarta;password;
201;Prov. Jawa Barat;Prov_Jawa_Barat;Prov_Jawa_Barat@mail.com;PW10;Pemerintah Daerah;Prov. Jawa Barat;password;
202;Kab. Bandung;Kab_Bandung;Kab_Bandung@mail.com;PW10;Pemerintah Daerah;Kab. Bandung;password;
203;Kab. Bandung Barat;Kab_Barat;Kab_Barat@mail.com;PW10;Pemerintah Daerah;Kab. Bandung Barat;password;
204;Kab. Bekasi;Kab_Bekasi;Kab_Bekasi@mail.com;PW10;Pemerintah Daerah;Kab. Bekasi;password;
205;Kab. Bogor;Kab_Bogor;Kab_Bogor@mail.com;PW10;Pemerintah Daerah;Kab. Bogor;password;
206;Kab. Ciamis;Kab_Ciamis;Kab_Ciamis@mail.com;PW10;Pemerintah Daerah;Kab. Ciamis;password;
207;Kab. Cianjur;Kab_Cianjur;Kab_Cianjur@mail.com;PW10;Pemerintah Daerah;Kab. Cianjur;password;
